序号,姓名,职位,公司,地区,平台,联系方式,客户类型,来源,建联状态,跟进备注,优先级
1,户外装备经销商,天猫店铺运营,森林风户外专营店,浙江杭州,天猫/淘宝,-,已合作经销商,搜索结果,已建联,flextail产品销量良好,高
2,户外用品分销商,京东渠道经理,京东自营店,全国,京东,-,平台自营渠道,搜索结果,已建联,品牌官方合作,高
3,跨境电商卖家,亚马逊店铺运营,FLEXTAIL Amazon Store,美国,Amazon,-,跨境电商,搜索结果,已建联,品牌出海渠道,高
4,户外装备批发,1688批发负责人,flextail 1688店铺,全国,1688,-,批发渠道,搜索结果,已建联,B2B采购,中
5,户外用品零售,独立站运营,flextail.com,全球,独立站,-,DTC直销,搜索结果,已建联,品牌官网,高
6,户外装备零售商,店铺经理,骆驼户外专营店,浙江杭州,淘宝,-,淘宝经销商,搜索结果,待开发,flextail产品销售,中
7,户外用品经销商,拼多多店铺运营,flextail拼多多店,全国,拼多多,-,拼多多渠道,搜索结果,待开发,价格敏感客户,中
8,跨境电商卖家,eBay卖家,flextail eBay Store,国际,eBay,-,跨境电商,搜索结果,待开发,二手/新品,低
9,户外用品经销商,LinkedIn用户,outdoor gear distributor,待定,LinkedIn,-,潜在分销商,目标开发,待建联,关键词outdoor distributor,高
10,露营装备代理商,LinkedIn用户,camping gear agent,待定,LinkedIn,-,潜在代理商,目标开发,待建联,关键词camping gear agent,高
11,户外运动零售商,LinkedIn用户,outdoor retailer,待定,LinkedIn,-,潜在零售商,目标开发,待建联,关键词outdoor retailer,高
12,跨境电商卖家,LinkedIn用户,Amazon seller outdoor,待定,LinkedIn,-,电商卖家,目标开发,待建联,关键词Amazon seller,中
13,户外俱乐部负责人,Facebook用户,camping club,全国,Facebook,-,终端客户,目标开发,待建联,关键词camping club,中
14,户外KOL/博主,Instagram用户,outdoor blogger,全国,Instagram,-,推广合作,目标开发,待建联,关键词outdoor blogger,高
15,VOLLYC潜在经销商,LinkedIn用户,vollyc outdoor distributor,待定,LinkedIn,-,分销商,目标开发,待建联,vollyc品牌待开拓,高
16,VOLLYC潜在代理商,Facebook用户,vollyc dealer,待定,Facebook,-,代理商,目标开发,待建联,vollyc品牌待开拓,中
17,VOLLYC潜在零售商,Instagram用户,vollyc retailer,待定,Instagram,-,零售商,目标开发,待建联,vollyc品牌待开拓,中
18,户外展会客户,展会负责人,Outdoor Trade Show,全国,展会,-,展会客户,目标开发,待建联,参加户外展会获取线索,高
19,行业协会成员,协会负责人,Outdoor Industry Association,全国,协会,-,行业资源,目标开发,待建联,获取行业人脉,中
20,跨境物流服务商,物流经理,International Shipping Co,全球,服务商,-,物流合作,目标开发,待建联,跨境电商物流支持,中
