rank,id,company,platform,country,fitScore,keyword,website,platformUrl,contactUrl,contactSearchUrl,emailFrom,websiteContactSubject,websiteContactMessage,background,buyerPersona,evidenceUrl,action
"1","google-customer-rei-co-op-instagram","REI Co-op","instagram","United States","98","outdoor retail chain","https://www.rei.com/","https://www.instagram.com/rei/","","","","","","Large US outdoor specialty retailer and co-op with camping, hiking, travel, and outdoor equipment categories.","Category buyer / merchandising manager for camping, outdoor electronics, and accessories.","https://www.google.com/search?q=%22REI%20Co-op%22%20%22outdoor%20retail%20chain%22%20%22United%20States%22%20buyer%20OR%20wholesale%20OR%20contact","partner_account"
"2","google-customer-rei-co-op-facebook","REI Co-op","facebook","United States","98","outdoor retail chain","https://www.rei.com/","https://www.facebook.com/REI","","","","","","Large US outdoor specialty retailer and co-op with camping, hiking, travel, and outdoor equipment categories.","Category buyer / merchandising manager for camping, outdoor electronics, and accessories.","https://www.google.com/search?q=%22REI%20Co-op%22%20%22outdoor%20retail%20chain%22%20%22United%20States%22%20buyer%20OR%20wholesale%20OR%20contact","partner_account"
"3","google-customer-rei-co-op-website-contact","REI Co-op","email","United States","98","outdoor retail chain","https://www.rei.com/","https://www.rei.com/help","https://www.rei.com/help","https://www.google.com/search?q=site%3Awww.rei.com%20%22REI%20Co-op%22%20contact%20buyer%20wholesale%20email%20vendor","leo@flextailgear.com","Flextail & Vollyc | Lightweight Outdoor & 3C Electronics – Potential Cooperation","Dear REI Co-op Team,

Nice to e-meet you.
I am Leo, from Flextail & Vollyc.

Flextail is our first and core brand, specializing in ultralight electric products for outdoor, travel, and home use. The brand is currently Top 1 on Amazon, with strong global sell-through and a proven product-market fit.
Vollyc, our second brand, focuses on 3C electronics, targeting practical, high-rotation consumer use cases.

From our perspective, your platform and positioning are highly aligned with Flextail’s product philosophy, especially in lightweight outdoor and travel-oriented electrics.

We have already contacted with your team, and we are now actively exploring opportunities in other regions.
Attached, you will find a brief introduction to our brands and current product catalog for your reference.

Looking ahead, we are planning to launch over 36 new SKUs in 2026, covering multiple usage scenarios and price tiers, which we believe could be of interest to your assortment strategy.

If you are available, I would greatly appreciate the opportunity to arrange a short introductory video meeting to present our brands and discuss potential collaboration opportunities.

Thank you for your time and consideration. I look forward to your reply.

[Flextail.com](https://www.flextail.com/), [vollyc.com](https://vollyc.com/)

[Sincerely](https://wa.me/8617321028184)
[Best Regard](https://wa.me/8617321028184)
[Leo Liu](https://wa.me/8617321028184)
[Sales](https://wa.me/8617321028184) [& Operations Director](https://wa.me/8617321028184)
[Brand & ODM Department](https://wa.me/8617321028184)
[Tel/whatsapp:  +86 17321028184](https://wa.me/8617321028184)

[Email:  Leo@flextailgear.com](https://wa.me/8617321028184)
[SHANGHAI FLEXTAIL TECHNOLOGY CO.,LTD.](https://wa.me/8617321028184)
[Room103, Building No.6, No.1 Yanjiaqiao, Pudong District, ShangHai, China](https://wa.me/8617321028184)
","Large US outdoor specialty retailer and co-op with camping, hiking, travel, and outdoor equipment categories.","Category buyer / merchandising manager for camping, outdoor electronics, and accessories.","https://www.google.com/search?q=%22REI%20Co-op%22%20%22outdoor%20retail%20chain%22%20%22United%20States%22%20buyer%20OR%20wholesale%20OR%20contact","partner_account"
"4","google-customer-bass-pro-shops-instagram","Bass Pro Shops","instagram","United States","96","outdoor retail chain","https://www.basspro.com/","https://www.instagram.com/bassproshops/","","","","","","Major North American outdoor, fishing, hunting, camping, and boating retailer with strong channel fit.","Outdoor camping accessories buyer or category merchant.","https://www.google.com/search?q=%22Bass%20Pro%20Shops%22%20%22outdoor%20retail%20chain%22%20%22United%20States%22%20buyer%20OR%20wholesale%20OR%20contact","develop"
"5","google-customer-bass-pro-shops-facebook","Bass Pro Shops","facebook","United States","96","outdoor retail chain","https://www.basspro.com/","https://www.facebook.com/bassproshops","","","","","","Major North American outdoor, fishing, hunting, camping, and boating retailer with strong channel fit.","Outdoor camping accessories buyer or category merchant.","https://www.google.com/search?q=%22Bass%20Pro%20Shops%22%20%22outdoor%20retail%20chain%22%20%22United%20States%22%20buyer%20OR%20wholesale%20OR%20contact","develop"
"6","google-customer-bass-pro-shops-website-contact","Bass Pro Shops","email","United States","96","outdoor retail chain","https://www.basspro.com/","https://www.basspro.com/shop/en/contact-us","https://www.basspro.com/shop/en/contact-us","https://www.google.com/search?q=site%3Awww.basspro.com%20%22Bass%20Pro%20Shops%22%20contact%20buyer%20wholesale%20email%20vendor","leo@flextailgear.com","Flextail & Vollyc | Lightweight Outdoor & 3C Electronics – Potential Cooperation","Dear Bass Pro Shops Team,

Nice to e-meet you.
I am Leo, from Flextail & Vollyc.

Flextail is our first and core brand, specializing in ultralight electric products for outdoor, travel, and home use. The brand is currently Top 1 on Amazon, with strong global sell-through and a proven product-market fit.
Vollyc, our second brand, focuses on 3C electronics, targeting practical, high-rotation consumer use cases.

From our perspective, your platform and positioning are highly aligned with Flextail’s product philosophy, especially in lightweight outdoor and travel-oriented electrics.

We have already contacted with your team, and we are now actively exploring opportunities in other regions.
Attached, you will find a brief introduction to our brands and current product catalog for your reference.

Looking ahead, we are planning to launch over 36 new SKUs in 2026, covering multiple usage scenarios and price tiers, which we believe could be of interest to your assortment strategy.

If you are available, I would greatly appreciate the opportunity to arrange a short introductory video meeting to present our brands and discuss potential collaboration opportunities.

Thank you for your time and consideration. I look forward to your reply.

[Flextail.com](https://www.flextail.com/), [vollyc.com](https://vollyc.com/)

[Sincerely](https://wa.me/8617321028184)
[Best Regard](https://wa.me/8617321028184)
[Leo Liu](https://wa.me/8617321028184)
[Sales](https://wa.me/8617321028184) [& Operations Director](https://wa.me/8617321028184)
[Brand & ODM Department](https://wa.me/8617321028184)
[Tel/whatsapp:  +86 17321028184](https://wa.me/8617321028184)

[Email:  Leo@flextailgear.com](https://wa.me/8617321028184)
[SHANGHAI FLEXTAIL TECHNOLOGY CO.,LTD.](https://wa.me/8617321028184)
[Room103, Building No.6, No.1 Yanjiaqiao, Pudong District, ShangHai, China](https://wa.me/8617321028184)
","Major North American outdoor, fishing, hunting, camping, and boating retailer with strong channel fit.","Outdoor camping accessories buyer or category merchant.","https://www.google.com/search?q=%22Bass%20Pro%20Shops%22%20%22outdoor%20retail%20chain%22%20%22United%20States%22%20buyer%20OR%20wholesale%20OR%20contact","email_priority"
"7","google-customer-cabela-s-instagram","Cabela's","instagram","United States","95","outdoor retail chain","https://www.cabelas.com/","https://www.instagram.com/cabelas/","","","","","","Outdoor retail brand under Bass Pro group, relevant for camping and outdoor accessory distribution.","Camping, hunting, or outdoor gear buyer.","https://www.google.com/search?q=%22Cabela's%22%20%22outdoor%20retail%20chain%22%20%22United%20States%22%20buyer%20OR%20wholesale%20OR%20contact","develop"
"8","google-customer-cabela-s-facebook","Cabela's","facebook","United States","95","outdoor retail chain","https://www.cabelas.com/","https://www.facebook.com/Cabelas","","","","","","Outdoor retail brand under Bass Pro group, relevant for camping and outdoor accessory distribution.","Camping, hunting, or outdoor gear buyer.","https://www.google.com/search?q=%22Cabela's%22%20%22outdoor%20retail%20chain%22%20%22United%20States%22%20buyer%20OR%20wholesale%20OR%20contact","develop"
"9","google-customer-cabela-s-website-contact","Cabela's","email","United States","95","outdoor retail chain","https://www.cabelas.com/","https://www.cabelas.com/shop/en/contact-us","https://www.cabelas.com/shop/en/contact-us","https://www.google.com/search?q=site%3Awww.cabelas.com%20%22Cabela's%22%20contact%20buyer%20wholesale%20email%20vendor","leo@flextailgear.com","Flextail & Vollyc | Lightweight Outdoor & 3C Electronics – Potential Cooperation","Dear Cabela's Team,

Nice to e-meet you.
I am Leo, from Flextail & Vollyc.

Flextail is our first and core brand, specializing in ultralight electric products for outdoor, travel, and home use. The brand is currently Top 1 on Amazon, with strong global sell-through and a proven product-market fit.
Vollyc, our second brand, focuses on 3C electronics, targeting practical, high-rotation consumer use cases.

From our perspective, your platform and positioning are highly aligned with Flextail’s product philosophy, especially in lightweight outdoor and travel-oriented electrics.

We have already contacted with your team, and we are now actively exploring opportunities in other regions.
Attached, you will find a brief introduction to our brands and current product catalog for your reference.

Looking ahead, we are planning to launch over 36 new SKUs in 2026, covering multiple usage scenarios and price tiers, which we believe could be of interest to your assortment strategy.

If you are available, I would greatly appreciate the opportunity to arrange a short introductory video meeting to present our brands and discuss potential collaboration opportunities.

Thank you for your time and consideration. I look forward to your reply.

[Flextail.com](https://www.flextail.com/), [vollyc.com](https://vollyc.com/)

[Sincerely](https://wa.me/8617321028184)
[Best Regard](https://wa.me/8617321028184)
[Leo Liu](https://wa.me/8617321028184)
[Sales](https://wa.me/8617321028184) [& Operations Director](https://wa.me/8617321028184)
[Brand & ODM Department](https://wa.me/8617321028184)
[Tel/whatsapp:  +86 17321028184](https://wa.me/8617321028184)

[Email:  Leo@flextailgear.com](https://wa.me/8617321028184)
[SHANGHAI FLEXTAIL TECHNOLOGY CO.,LTD.](https://wa.me/8617321028184)
[Room103, Building No.6, No.1 Yanjiaqiao, Pudong District, ShangHai, China](https://wa.me/8617321028184)
","Outdoor retail brand under Bass Pro group, relevant for camping and outdoor accessory distribution.","Camping, hunting, or outdoor gear buyer.","https://www.google.com/search?q=%22Cabela's%22%20%22outdoor%20retail%20chain%22%20%22United%20States%22%20buyer%20OR%20wholesale%20OR%20contact","email_priority"
"10","google-customer-mec-instagram","MEC","instagram","Canada","94","outdoor retail chain","https://www.mec.ca/","https://www.instagram.com/mec/","","","","","","Canadian outdoor retail co-op focused on camping, hiking, climbing, travel, and outdoor gear.","Camping equipment / outdoor accessories category buyer.","https://www.google.com/search?q=%22MEC%22%20%22outdoor%20retail%20chain%22%20%22Canada%22%20buyer%20OR%20wholesale%20OR%20contact","develop"
