keyword,score,sent,label,platform
amazon_vendor_outdoor,98,3,LinkedIn → Amazon Vendor Manager Outdoor,LinkedIn
bass_pro_shops,96,2,LinkedIn → Bass Pro Shops Category Buyer,LinkedIn
cabelas,96,2,LinkedIn → Cabela's Senior Buyer Camping,LinkedIn
dicks_sporting,95,2,LinkedIn → Dick's Sporting Goods Director,LinkedIn
backcountry,94,1,LinkedIn → Backcountry Head of Buying,LinkedIn
decathlon,93,2,LinkedIn → Decathlon Sourcing Manager USA,LinkedIn
camping_world,95,5,LinkedIn → Camping World Senior Buyer,LinkedIn
rei_buyer,94,2,LinkedIn → REI Senior Buyer Outdoor,LinkedIn
rei_product,93,1,LinkedIn → REI Product Manager,LinkedIn
l.L.Bean,92,1,LinkedIn → L.L.Bean Buyer Camping,LinkedIn
eastern_mountain,90,1,LinkedIn → Eastern Mountain Sports Buyer,LinkedIn
moosejaw,89,1,LinkedIn → Moosejaw Buyer Outdoor,LinkedIn
tire_pump_autozone,94,3,LinkedIn → AutoZone Tire & Auto Buyer,LinkedIn
napa_auto,93,2,LinkedIn → NAPA Auto Parts Buyer,LinkedIn
discount_tire,91,1,LinkedIn → Discount Tire Buyer,LinkedIn
rv_dealer_network,92,3,Facebook → RV Dealer Network Group,Facebook
camping_community,91,3,Facebook → Camping & Outdoor Community,Facebook
outdoor_retail_facebook,90,2,Facebook → Outdoor Retail Professional,Facebook
rv_lifestyle_influencer,88,2,Instagram → RV Lifestyle Influencer/Marketer,Instagram
camping_influencer,87,1,Instagram → Camping & Hiking Influencer,Instagram
outdoor_brand_instagram,89,1,Instagram → Outdoor Brand Ambassador,Instagram
international_distributor,92,3,LinkedIn → International Outdoor Distributor,LinkedIn
tire_pump_wholesale,91,2,Facebook → Tire Pump Wholesale/Auto Aftermarket,Facebook
walmart_buyer,93,2,LinkedIn → Walmart Outdoor Buyer,LinkedIn
target_buyer,90,1,LinkedIn → Target Outdoor Buyer,LinkedIn
bestbuy_buyer,88,1,LinkedIn → Best Buy Auto Accessories Buyer,LinkedIn
