date,platform,priority,state,name,company,role,tier,country,countryEn,marketScore,marketTier,marketStatus,originalStatus,source,action,fitScore,fitTier,verifiedPlatform,facebookStatus,lastKnownTouch
"2026-06-03","Instagram","1","需跟进","ellisbrigham","Ellis Brigham UK (33K followers, since 1933)","Sent - auto-replied with email customer.services@e","T3","英国","United Kingdom","4.5","重点","可开拓","Replied","instagram","已触达客户：仅在 Instagram 正确账号继续跟进，优先获取 WhatsApp/WeChat/邮箱；不要再派生 Facebook 任务","100","A","instagram","not_verified_do_not_use","Sent - auto-replied with email customer.services@e"
"2026-06-03","Instagram","2","需跟进","campmor","Campmor US","Sent - replied to email buyers@campmor.com","T3","美国","United States","4.4","重点","可开拓","Replied","instagram","已触达客户：仅在 Instagram 正确账号继续跟进，优先获取 WhatsApp/WeChat/邮箱；不要再派生 Facebook 任务","100","A","instagram","not_verified_do_not_use","Sent - replied to email buyers@campmor.com"
"2026-06-03","Instagram","3","需跟进","otimosoutdoorgear","Otimos UK","Sent - replied with website contact","T3","英国","United Kingdom","4.5","重点","可开拓","Replied","instagram","已触达客户：仅在 Instagram 正确账号继续跟进，优先获取 WhatsApp/WeChat/邮箱；不要再派生 Facebook 任务","91","A","instagram","not_verified_do_not_use","Sent - replied with website contact"
"2026-06-03","Instagram","4","需跟进","worldofcamping","World of Camping UK","Sent - replied with info@worldofcamping.co.uk","T3","英国","United Kingdom","4.5","重点","可开拓","Replied","instagram","已触达客户：仅在 Instagram 正确账号继续跟进，优先获取 WhatsApp/WeChat/邮箱；不要再派生 Facebook 任务","91","A","instagram","not_verified_do_not_use","Sent - replied with info@worldofcamping.co.uk"
"2026-06-03","Instagram","5","待复查","anacondastores","Anaconda Stores AU (60K followers, verified, largest outdoor retailer)","Sent partnership proposal + followed","T3","澳大利亚","Australia","4.8","重点","可开拓","Sent","instagram","已发送客户：复查 Instagram 正确账号与最近动态，必要时做轻量跟进；不要再派生 Facebook 任务","85","A","instagram","not_verified_do_not_use","Sent partnership proposal + followed"
"2026-06-03","Instagram","6","需跟进","mec","MEC Canada","Sent - requested product info to info@mec.ca","T3","加拿大","Canada","3.7","正常","可开拓","Replied","instagram","已触达客户：仅在 Instagram 正确账号继续跟进，优先获取 WhatsApp/WeChat/邮箱；不要再派生 Facebook 任务","83","A","instagram","not_verified_do_not_use","Sent - requested product info to info@mec.ca"
"2026-06-03","Instagram","7","需跟进","monasheeoutdoors","Monashee Outdoors","Sent - replied: will let us know","T3","加拿大","Canada","3.7","正常","可开拓","Replied","instagram","已触达客户：仅在 Instagram 正确账号继续跟进，优先获取 WhatsApp/WeChat/邮箱；不要再派生 Facebook 任务","83","A","instagram","not_verified_do_not_use","Sent - replied: will let us know"
"2026-06-03","Instagram","8","需跟进","camp4wheels","Poland rooftop tent importer","Partnership DM - replied with WhatsApp interest","T3","波兰","Poland","3.2","正常","独代占用","Replied","instagram","已触达客户：仅在 Instagram 正确账号继续跟进，优先获取 WhatsApp/WeChat/邮箱；不要再派生 Facebook 任务","83","A","instagram","not_verified_do_not_use","Partnership DM - replied with WhatsApp interest"
"2026-06-03","Instagram","9","待复查","huntingandfishingnewzealand","Hunting & Fishing NZ (46K followers, verified, NZ outdoor retail)","Sent wholesale partnership proposal + followed","T3","新西兰","New Zealand","3.9","正常","可开拓","Sent","instagram","已发送客户：复查 Instagram 正确账号与最近动态，必要时做轻量跟进；不要再派生 Facebook 任务","77","A","instagram","not_verified_do_not_use","Sent wholesale partnership proposal + followed"
"2026-06-03","Instagram","10","待复查","kathmandugear","Kathmandu NZ/AU (12.3K followers, verified)","Sent partnership proposal - B Corp brand with mult","T3","新西兰","New Zealand","3.9","正常","可开拓","Sent","instagram","已发送客户：复查 Instagram 正确账号与最近动态，必要时做轻量跟进；不要再派生 Facebook 任务","77","A","instagram","not_verified_do_not_use","Sent partnership proposal - B Corp brand with mult"
